Date of Joining,Gender,Job Division,WFH Setup Available,Designation Grade,Resource Allocation,Mental Fatigue Score,Burn Rate
18-12-2008,Male,Product,Yes,0,1,0,0
12-06-2008,Male,Service,Yes,0,1,,0.03
11-07-2008,Female,Product,Yes,0,1,1.5,0.07
05-05-2008,Male,Service,No,4,7,6.8,0.54
10-04-2008,Female,Product,Yes,3,6,,0.76
15-08-2008,Female,Service,Yes,3,6,4.5,0.36
01-08-2008,Female,Product,No,0,2,3.9,0.28
01-11-2008,Male,Product,No,1,5,7.1,0.53
23-11-2008,Male,Service,No,3,6,,0.36
31-07-2008,Female,Service,Yes,2,4,6.3,0.43
17-05-2008,Male,Product,No,3,6,5.6,0.51
07-12-2008,Male,Service,No,4,,7.7,0.57
08-12-2008,Female,Service,No,2,4,4.5,0.33
19-12-2008,Male,Service,No,3,6,6.6,0.55
29-09-2008,Male,Service,No,2,,6.2,0.42
07-06-2008,Male,Service,Yes,2,3,5.5,0.4
31-08-2008,Male,Service,Yes,1,2,3.6,0.18
27-03-2008,Male,Service,No,1,4,5,0.34
26-04-2008,Male,Service,Yes,3,6,7.4,0.63
23-04-2008,Female,Service,Yes,2,,5.5,0.36
23-02-2008,Male,Product,No,3,8,7.9,0.74
18-08-2008,Female,Product,No,0,1,0,0
23-03-2008,Female,Service,Yes,2,3,5.6,0.4
15-08-2008,Female,Service,Yes,3,4,6.4,0.46
17-09-2008,Male,Service,No,3,6,,0.62
14-02-2008,Male,Service,Yes,0,1,2.8,0.08
26-05-2008,Male,Product,No,3,6,8.7,0.8
22-07-2008,Male,Product,No,1,4,5,0.46
12-03-2008,Female,Service,No,2,5,5.8,0.45
22-06-2008,Female,Product,Yes,0,1,1,0.06
03-07-2008,Male,Service,No,4,,8.7,0.71
31-10-2008,Female,Product,No,2,3,5.4,0.5
04-08-2008,Female,Service,Yes,1,2,3.1,0.24
12-06-2008,Female,Product,Yes,3,7,8.2,0.85
30-04-2008,Male,Service,No,4,6,,0.68
19-06-2008,Male,Product,No,3,6,7.8,0.67
30-08-2008,Male,Product,No,3,5,6.6,0.61
06-09-2008,Male,Service,No,3,5,7.5,0.69
09-03-2008,Female,Service,Yes,2,3,3.6,0.2
02-12-2008,Female,Service,Yes,1,3,5.2,0.46
12-12-2008,Female,Service,Yes,1,1,3.6,0.19
13-01-2008,Female,Product,No,1,3,4.3,0.31
17-08-2008,Female,Product,Yes,2,3,4.8,0.4
14-05-2008,Male,Product,No,2,5,6.3,0.6
08-02-2008,Female,Service,No,2,4,4.6,0.33
12-10-2008,Female,Service,Yes,1,2,4.5,
15-11-2008,Male,Product,Yes,2,4,,0.52
07-05-2008,Female,Product,No,3,6,7.4,0.56
26-12-2008,Male,Service,No,2,3,4.1,0.33
12-02-2008,Female,Service,No,2,3,3.3,0.25
17-06-2008,Male,Product,No,3,5,5.3,0.49
26-08-2008,Male,Service,No,1,2,2.5,0.12
08-10-2008,Female,Service,Yes,2,4,4.6,0.34
13-02-2008,Male,Service,No,4,8,7.7,0.74
15-10-2008,Male,Product,No,4,7,8.3,0.64
27-05-2008,Male,Service,Yes,2,4,4.8,0.37
02-04-2008,Female,Product,No,2,,6.7,0.51
20-09-2008,Female,Product,No,1,2,3.8,0.3
12-04-2008,Male,Service,Yes,2,,7.7,0.61
27-12-2008,Male,Service,No,2,3,5.7,0.42
31-05-2008,Female,Service,Yes,3,5,6.8,0.47
13-12-2008,Male,Product,Yes,2,5,6.5,0.45
12-05-2008,Female,Service,No,3,7,7.8,0.64
15-12-2008,Male,Product,No,2,5,6.1,0.51
03-04-2008,Female,Service,Yes,2,3,6.5,0.48
29-02-2008,Male,Product,Yes,3,6,6.3,0.5
01-03-2008,Female,Service,Yes,2,4,5.1,
10-11-2008,Male,Product,No,0,1,4.4,0.25
24-04-2008,Female,Service,No,2,4,4.8,0.42
29-08-2008,Male,Product,Yes,1,2,,0.38
29-01-2008,Female,Service,Yes,1,4,6.1,0.42
23-03-2008,Male,Service,No,1,3,4.3,0.36
29-01-2008,Male,Service,Yes,3,6,7.5,0.69
06-02-2008,Male,Product,No,2,3,4.2,0.33
04-05-2008,Female,Service,No,1,3,4.4,0.38
18-08-2008,Female,Service,Yes,1,3,,
11-05-2008,Female,Service,Yes,1,1,2.2,0.14
15-11-2008,Female,Service,No,2,4,7.4,0.55
22-07-2008,Female,Service,No,4,6,7.7,0.67
05-07-2008,Female,Service,No,3,7,7,0.52
12-09-2008,Male,Service,No,3,6,6.3,0.52
20-08-2008,Female,Product,Yes,3,4,6.9,0.47
09-12-2008,Female,Product,Yes,1,2,2.9,0.14
25-03-2008,Female,Service,Yes,2,3,3,0.25
23-12-2008,Male,Product,No,3,6,6.7,0.65
04-05-2008,Female,Service,Yes,5,9,8.4,0.76
25-06-2008,Female,Service,Yes,1,,,0.19
31-08-2008,Male,Service,No,2,4,4.8,0.3
12-05-2008,Male,Service,Yes,2,4,,0.48
15-11-2008,Female,Service,Yes,2,6,8.4,0.75
30-04-2008,Male,Service,Yes,1,2,3.9,0.27
02-06-2008,Male,Product,Yes,2,4,6.8,0.49
05-05-2008,Female,Product,Yes,3,5,6.9,0.56
16-07-2008,Female,Product,No,3,5,6,0.41
16-04-2008,Male,Service,Yes,3,8,9.4,0.79
22-09-2008,Male,Service,No,3,6,6.3,0.62
24-03-2008,Female,Product,Yes,2,5,4.6,0.35
25-02-2008,Male,Service,No,4,7,6.6,0.54
02-10-2008,Female,Product,No,2,4,4,0.26
25-09-2008,Female,Service,Yes,2,3,6.1,0.42
20-06-2008,Female,Service,No,3,7,7.2,0.7
07-04-2008,Male,Service,Yes,2,5,,0.65
30-04-2008,Female,Product,Yes,1,2,3.7,0.26
07-02-2008,Female,Product,No,4,6,6.7,0.64
04-08-2008,Male,Service,Yes,2,3,7,0.48
12-04-2008,Female,Service,No,1,3,4.4,0.31
04-02-2008,Female,Service,Yes,1,3,5.2,0.42
18-05-2008,Female,Service,Yes,0,1,2.2,0.05
26-06-2008,Male,Service,No,3,5,,0.51
17-09-2008,Female,Product,Yes,3,5,,0.3
17-03-2008,Male,Product,Yes,1,1,4.7,0.25
27-08-2008,Female,Product,Yes,3,5,5.3,0.5
14-07-2008,Male,Product,Yes,3,6,,0.55
30-03-2008,Female,Service,Yes,1,1,,0.26
04-04-2008,Male,Service,No,2,4,5.7,0.44
15-03-2008,Male,Product,Yes,2,5,5.2,0.38
27-02-2008,Female,Service,No,3,6,7.2,0.57
18-01-2008,Female,Product,Yes,3,4,,0.33
08-06-2008,Male,Service,Yes,3,4,5.8,0.44
02-09-2008,Male,Service,No,4,7,7.5,0.58
21-12-2008,Male,Service,Yes,2,4,,0.42
24-02-2008,Male,Service,Yes,2,4,3.2,
28-08-2008,Female,Product,Yes,2,5,6.6,0.64
17-06-2008,Female,Service,Yes,1,4,,0.45
13-01-2008,Female,Service,Yes,4,7,6.8,0.63
23-03-2008,Female,Service,Yes,2,,3.4,0.14
07-11-2008,Female,Service,No,4,7,5.4,0.51
14-12-2008,Male,Product,No,3,7,5.9,
24-05-2008,Female,Service,Yes,2,3,,0.18
13-10-2008,Female,Service,Yes,0,1,0,0.02
23-08-2008,Female,Service,No,3,5,6.7,
15-04-2008,Female,Service,Yes,2,4,5.7,0.35
29-01-2008,Male,Product,Yes,2,2,4,0.28
26-11-2008,Female,Product,Yes,5,8,8.7,0.85
29-06-2008,Female,Service,Yes,3,5,4.8,0.27
18-05-2008,Male,Service,Yes,3,5,5.8,0.44
13-05-2008,Female,Service,No,0,3,4.3,0.3
05-06-2008,Female,Product,No,2,,6.3,0.43
04-06-2008,Male,Service,Yes,1,1,5.4,0.29
19-11-2008,Male,Product,No,2,5,7.3,0.55
11-07-2008,Female,Service,Yes,2,5,5.6,0.47
29-11-2008,Female,Product,No,1,3,,
26-04-2008,Male,Service,No,2,,,0.53
17-10-2008,Female,Service,No,2,7,,0.7
12-03-2008,Male,Service,Yes,2,4,6.2,0.46
18-10-2008,Female,Service,No,1,4,5.1,0.46
13-05-2008,Male,Service,No,1,2,4.1,0.23
09-04-2008,Male,Product,Yes,0,2,2.7,0.19
06-08-2008,Male,Service,No,2,4,3.6,0.17
29-01-2008,Male,Product,Yes,1,3,5.7,0.43
27-12-2008,Female,Product,Yes,1,1,1.3,0.1
09-06-2008,Male,Service,No,4,7,6.7,0.57
03-10-2008,Male,Service,Yes,0,2,2.3,0.11
26-11-2008,Female,Service,No,3,5,,0.56
31-08-2008,Female,Product,No,2,6,7.1,0.71
12-09-2008,Male,Service,Yes,2,4,5.4,0.48
03-02-2008,Male,Service,No,2,3,4.7,0.27
10-08-2008,Male,Service,Yes,3,6,7.2,0.57
05-02-2008,Male,Service,No,4,7,6.4,0.54
08-01-2008,Male,Service,Yes,1,3,5.3,
21-07-2008,Male,Product,Yes,0,1,0,0
11-01-2008,Female,Service,Yes,3,5,5.3,0.29
01-10-2008,Female,Product,Yes,1,2,,0.27
30-10-2008,Female,Service,Yes,0,1,2.2,0.1
27-03-2008,Male,Product,No,3,6,7.6,0.7
02-07-2008,Female,Service,Yes,2,5,4.5,0.37
16-07-2008,Male,Service,Yes,2,4,5.9,0.36
15-02-2008,Female,Service,Yes,1,2,3.5,0.14
19-12-2008,Male,Service,Yes,1,4,5.6,0.4
26-09-2008,Male,Service,No,3,5,7.4,0.59
19-03-2008,Female,Service,Yes,2,3,5.1,0.38
28-08-2008,Male,Service,No,2,4,5.7,0.55
17-08-2008,Male,Service,No,3,8,7.4,0.75
02-04-2008,Male,Service,Yes,1,,0.8,0.04
29-11-2008,Female,Product,Yes,2,3,6.5,0.45
18-04-2008,Male,Product,Yes,2,6,6.7,0.51
16-06-2008,Male,Service,Yes,3,6,6.4,0.58
25-08-2008,Male,Service,No,5,9,9.3,0.96
19-05-2008,Female,Service,No,2,5,7.4,0.76
15-11-2008,Female,Service,Yes,3,6,5.1,0.41
24-03-2008,Female,Service,No,2,4,5.1,0.42
17-11-2008,Female,Product,Yes,3,,,0.48
29-05-2008,Male,Product,Yes,3,4,5.7,0.48
22-01-2008,Female,Product,Yes,2,2,3.6,0.27
04-01-2008,Male,Service,Yes,3,6,7,0.49
12-06-2008,Female,Service,Yes,1,3,3.3,0.15
08-06-2008,Female,Service,No,3,6,6.1,0.47
21-04-2008,Male,Service,No,3,8,9,0.83
27-02-2008,Male,Service,No,1,4,6,0.52
28-09-2008,Female,Service,Yes,1,2,3.5,0.25
29-05-2008,Male,Service,Yes,1,3,3.6,0.2
23-06-2008,Male,Product,Yes,1,2,6.1,0.46
21-02-2008,Male,Service,Yes,1,1,4.4,0.26
12-05-2008,Female,Service,No,2,3,4.2,0.25
15-07-2008,Female,Product,No,1,,4.1,0.23
24-08-2008,Male,Product,Yes,3,5,4.1,0.35
25-03-2008,Male,Service,Yes,1,1,4.8,0.28
04-01-2008,Male,Service,Yes,2,4,7.4,0.6
02-01-2008,Female,Product,Yes,2,5,,0.59
15-05-2008,Male,Service,Yes,3,5,4.5,0.41
13-04-2008,Female,Service,Yes,1,4,6.4,0.54
15-07-2008,Male,Service,No,3,6,7.3,0.61
29-08-2008,Female,Service,No,3,8,7,0.71
27-06-2008,Female,Service,Yes,2,4,4.7,0.35
05-09-2008,Female,Product,Yes,1,3,,0.5
27-11-2008,Male,Service,Yes,1,3,4.5,
12-04-2008,Female,Product,No,3,6,6.8,0.63
15-10-2008,Male,Service,No,3,6,7.1,0.67
27-09-2008,Female,Service,No,1,1,,0.12
28-07-2008,Female,Product,Yes,1,3,3.3,0.24
27-02-2008,Male,Service,Yes,2,3,,0.45
04-11-2008,Male,Product,No,2,3,5.5,0.43
28-02-2008,Male,Product,Yes,4,9,8.8,0.71
13-08-2008,Male,Service,Yes,1,2,2.3,0.06
02-05-2008,Male,Product,Yes,2,5,5.8,0.44
25-11-2008,Male,Service,No,3,7,7.5,0.68
07-12-2008,Male,Service,No,2,3,4,0.23
24-04-2008,Female,Service,No,1,1,4.7,0.26
19-06-2008,Male,Service,No,0,,2.5,0.15
28-11-2008,Male,Product,Yes,2,4,5.9,0.39
23-11-2008,Male,Service,No,2,4,6,0.47
08-02-2008,Female,Product,Yes,2,3,5.9,0.39
05-03-2008,Female,Service,No,1,2,5.4,0.37
27-09-2008,Male,Product,No,2,5,6.6,0.54
09-06-2008,Male,Service,No,2,3,,0.5
08-09-2008,Male,Service,Yes,1,3,,0.13
05-10-2008,Male,Service,No,3,7,7.5,0.71
15-06-2008,Female,Service,No,3,5,6,0.48
05-10-2008,Male,Product,No,2,5,6.5,0.54
24-11-2008,Female,Service,Yes,2,,3.5,0.21
22-04-2008,Male,Service,No,4,7,6.7,
15-06-2008,Female,Service,No,3,5,7.4,0.52
17-05-2008,Female,Service,Yes,2,4,,0.36
03-01-2008,Male,Service,No,2,5,6.9,0.59
30-09-2008,Female,Service,Yes,2,6,6.3,0.55
08-02-2008,Female,Service,Yes,3,6,9.6,0.83
18-03-2008,Male,Service,No,2,5,7.3,0.65
06-08-2008,Male,Service,Yes,4,6,5.6,0.48
10-05-2008,Male,Service,Yes,1,,4.2,0.35
13-03-2008,Female,Service,No,5,10,9.4,1
01-02-2008,Female,Service,Yes,2,3,5.3,0.45
06-04-2008,Female,Service,No,3,5,,0.59
01-02-2008,Male,Service,Yes,1,2,2.3,0.1
09-09-2008,Male,Service,Yes,2,3,3.1,0.24
21-12-2008,Female,Service,Yes,2,5,6,0.56
12-11-2008,Female,Service,No,2,3,5.9,0.38
29-04-2008,Female,Service,No,4,8,7.6,0.78
20-08-2008,Male,Product,No,4,7,8.4,0.67
14-12-2008,Female,Product,Yes,4,7,8.1,0.63
19-03-2008,Female,Service,No,3,5,5.6,0.51
21-05-2008,Female,Service,Yes,1,,3.7,0.19
15-01-2008,Female,Service,Yes,2,5,5.9,0.35
07-06-2008,Female,Service,Yes,3,5,6.9,0.5
10-07-2008,Female,Service,Yes,2,4,5.8,0.43
07-07-2008,Female,Service,Yes,1,2,5.3,0.33
24-01-2008,Male,Service,No,2,,5.9,0.45
16-07-2008,Female,Product,No,0,1,4.7,0.28
29-04-2008,Female,Product,Yes,0,1,1.1,0.08
02-11-2008,Female,Service,No,4,7,,0.51
28-06-2008,Female,Service,No,2,6,6.9,0.53
05-09-2008,Female,Service,Yes,1,,,0.42
09-09-2008,Male,Product,Yes,1,2,6.6,0.5
26-09-2008,Female,Product,Yes,2,3,5.3,0.46
12-11-2008,Male,Service,Yes,4,8,7.6,0.6
18-11-2008,Female,Service,No,2,2,,0.29
18-06-2008,Male,Service,No,4,6,,0.65
03-12-2008,Male,Service,Yes,3,4,3.8,
09-08-2008,Male,Service,Yes,2,4,5.3,0.42
08-01-2008,Male,Service,Yes,3,4,4.8,0.42
19-07-2008,Female,Service,No,1,,,0
19-05-2008,Female,Service,Yes,3,8,7.8,0.75
30-03-2008,Female,Service,No,1,1,2,0.16
06-08-2008,Female,Service,No,1,2,3.9,0.33
26-01-2008,Female,Service,Yes,2,3,4.5,0.26
28-12-2008,Male,Product,No,3,6,9.5,0.81
23-12-2008,Male,Service,No,3,5,6.8,0.62
17-10-2008,Female,Service,Yes,3,5,4.7,0.35
02-03-2008,Female,Service,Yes,1,1,2.5,0.08
12-04-2008,Female,Service,Yes,1,4,4.5,0.33
25-01-2008,Male,Product,Yes,2,4,8.4,0.65
05-05-2008,Male,Service,No,3,6,7.4,0.59
27-06-2008,Female,Service,Yes,2,5,5.3,0.42
01-12-2008,Male,Product,No,4,8,7.4,0.56
23-06-2008,Male,Service,Yes,4,8,9.3,0.79
13-02-2008,Female,Service,Yes,2,5,6.7,0.63
27-09-2008,Female,Product,No,5,9,7.9,0.8
17-04-2008,Female,Product,Yes,4,9,8.1,0.81
04-06-2008,Male,Product,No,2,5,7.3,0.63
23-04-2008,Female,Service,Yes,1,2,5.5,0.39
27-04-2008,Female,Product,Yes,3,4,5.5,0.37
08-09-2008,Female,Service,No,3,7,,0.63
04-01-2008,Female,Service,Yes,1,3,4.4,0.28
13-01-2008,Female,Product,Yes,4,7,,0.79
18-08-2008,Male,Service,Yes,3,6,8.5,0.84
21-07-2008,Female,Service,No,2,5,6.5,0.54
26-12-2008,Female,Product,No,2,5,6.7,0.62
20-06-2008,Male,Service,Yes,2,3,4.1,0.28
31-08-2008,Male,Service,Yes,1,2,4.4,0.23
11-06-2008,Female,Service,Yes,2,3,1.8,0.04
17-07-2008,Female,Product,No,2,4,6.9,0.51
29-12-2008,Male,Service,Yes,0,1,2.8,0.18
29-09-2008,Male,Product,No,4,8,9.2,0.8
22-02-2008,Male,Service,No,2,5,7.4,0.61
15-12-2008,Female,Service,No,1,2,5.1,0.45
07-12-2008,Male,Service,Yes,1,3,5.2,0.42
15-04-2008,Male,Product,Yes,2,6,6,0.57
13-10-2008,Male,Product,Yes,1,4,4.5,0.31
12-08-2008,Female,Service,Yes,2,5,5.8,0.53
11-07-2008,Female,Service,No,3,7,7.8,0.58
29-05-2008,Male,Product,Yes,2,4,,0.43
22-04-2008,Female,Product,Yes,4,7,6.4,0.61
01-06-2008,Male,Service,No,1,2,4.9,0.37
18-06-2008,Male,Service,No,4,6,6.9,0.59
27-11-2008,Female,Product,Yes,0,1,,0
03-04-2008,Female,Service,Yes,3,5,6.1,
18-05-2008,Male,Service,No,2,5,6.5,0.44
10-02-2008,Male,Product,Yes,2,3,4.5,0.25
03-02-2008,Female,Service,No,3,7,6.5,0.58
03-10-2008,Male,Service,No,5,8,9,0.78
18-03-2008,Male,Service,Yes,1,,2.6,0.18
13-08-2008,Male,Service,No,3,7,9.1,
18-07-2008,Male,Service,No,2,5,7.7,0.59
12-02-2008,Male,Service,No,2,4,7.5,0.63
19-09-2008,Female,Service,No,4,8,5.8,0.51
19-11-2008,Female,Product,Yes,2,4,3.6,0.22
01-09-2008,Female,Product,Yes,0,1,1.9,0.13
07-10-2008,Male,Service,Yes,2,5,6,0.5
29-03-2008,Male,Product,Yes,2,5,7,0.55
28-05-2008,Female,Service,Yes,3,5,6.3,0.45
04-08-2008,Male,Service,Yes,2,4,4.5,0.37
15-04-2008,Male,Product,Yes,2,4,6.6,
22-03-2008,Female,Product,No,2,3,4.8,0.24
29-09-2008,Female,Service,No,3,6,9,0.82
02-05-2008,Female,Product,Yes,1,2,5.1,0.46
23-08-2008,Male,Service,Yes,1,3,4.8,0.34
05-05-2008,Male,Service,Yes,2,4,4.5,0.4
22-06-2008,Female,Product,Yes,0,3,5.6,0.34
28-06-2008,Female,Service,No,1,3,4.3,0.35
25-10-2008,Male,Service,Yes,2,6,5.8,0.55
19-06-2008,Female,Product,No,1,2,2.1,0.09
21-11-2008,Male,Product,Yes,4,8,5.7,0.53
08-02-2008,Female,Service,Yes,1,3,2.8,0.21
15-02-2008,Male,Service,No,4,9,7.8,0.71
09-01-2008,Female,Service,No,3,6,6.1,0.47
19-11-2008,Male,Service,Yes,3,6,,0.65
24-08-2008,Male,Service,Yes,2,3,5.7,0.43
07-08-2008,Male,Service,No,1,4,5.7,0.52
17-02-2008,Male,Product,No,4,9,8.2,0.83
09-11-2008,Male,Service,Yes,3,5,6,0.51
03-05-2008,Male,Service,No,3,7,7.6,0.67
20-02-2008,Female,Service,Yes,2,3,,0.18
19-08-2008,Male,Product,No,3,6,7.9,0.65
10-11-2008,Female,Product,Yes,1,3,6,0.41
22-10-2008,Male,Service,No,1,3,3.7,0.27
22-09-2008,Male,Service,Yes,1,,5.1,0.29
06-06-2008,Female,Product,No,2,4,7.3,0.52
16-07-2008,Female,Product,No,3,6,7.2,0.62
28-09-2008,Male,Service,No,2,6,6.9,0.54
04-05-2008,Male,Service,Yes,2,4,4.5,
12-06-2008,Female,Service,Yes,2,3,,0.21
22-09-2008,Male,Service,No,3,5,8.6,0.69
10-11-2008,Female,Service,No,0,1,0.7,0
24-07-2008,Female,Product,No,2,5,5.5,0.32
23-07-2008,Female,Service,No,3,6,7.1,0.52
10-01-2008,Female,Service,No,3,4,6,0.46
07-05-2008,Male,Product,Yes,2,,,0.24
04-10-2008,Female,Service,Yes,1,1,3.9,0.2
28-08-2008,Male,Service,Yes,4,,,0.7
21-04-2008,Male,Product,No,3,6,6.2,0.48
17-08-2008,Female,Product,Yes,1,2,5.8,0.34
19-11-2008,Male,Product,Yes,0,,3,0.17
23-02-2008,Male,Service,No,3,6,6.9,
15-12-2008,Male,Product,Yes,2,4,6.6,0.46
11-06-2008,Male,Product,No,1,,7.3,0.54
04-10-2008,Male,Service,No,1,4,5.4,0.39
30-10-2008,Male,Service,No,4,7,6.7,0.54
27-01-2008,Male,Product,Yes,2,3,,0.45
21-01-2008,Female,Service,Yes,3,7,8.2,0.78
10-01-2008,Female,Product,Yes,2,4,6.3,0.53
16-01-2008,Male,Service,No,0,,,0.11
03-10-2008,Female,Service,Yes,4,7,6.8,0.54
28-01-2008,Male,Service,Yes,1,4,,0.44
25-09-2008,Female,Service,Yes,2,5,7.5,0.53
06-10-2008,Female,Service,No,1,3,5.4,0.44
25-11-2008,Female,Product,No,4,7,7.5,0.63
20-09-2008,Female,Service,No,2,5,6.3,0.54
21-07-2008,Male,Service,Yes,2,4,5.7,0.38
19-02-2008,Male,Service,Yes,5,9,9.1,0.84
27-08-2008,Male,Service,Yes,2,,4.5,0.35
23-11-2008,Male,Product,No,1,3,4.8,0.39
03-04-2008,Female,Service,No,2,,6,0.56
24-01-2008,Female,Service,Yes,3,5,,0.45
08-07-2008,Male,Product,Yes,1,4,5.9,0.5
03-12-2008,Female,Service,Yes,2,5,5.9,0.54
27-02-2008,Female,Service,No,0,1,1.3,0.03
19-10-2008,Female,Service,No,0,2,3.5,0.17
03-02-2008,Female,Service,No,5,10,8.4,0.76
19-12-2008,Female,Service,Yes,2,3,6.6,0.49
15-03-2008,Female,Service,Yes,2,4,6.1,0.37
16-10-2008,Female,Product,Yes,1,3,4.7,0.42
31-03-2008,Male,Product,Yes,3,5,,0.46
29-01-2008,Female,Product,No,1,1,1.8,0.07
07-03-2008,Male,Service,No,5,9,9.5,0.93
06-01-2008,Male,Service,Yes,1,4,6.1,
02-02-2008,Male,Service,Yes,2,5,7.3,0.64
18-02-2008,Male,Service,Yes,1,3,5.1,0.27
17-03-2008,Female,Product,Yes,3,7,8.9,0.78
26-02-2008,Female,Product,Yes,2,4,3.9,0.31
19-09-2008,Female,Service,Yes,0,1,2,0.06
07-07-2008,Female,Service,Yes,4,8,9,0.76
03-08-2008,Female,Service,No,1,2,5.6,0.32
27-08-2008,Female,Service,No,2,3,5.8,0.42
28-10-2008,Female,Product,No,4,8,8.1,0.82
27-05-2008,Female,Service,Yes,3,4,5.5,0.45
31-10-2008,Female,Service,Yes,1,2,4.8,0.35
02-02-2008,Male,Service,Yes,3,4,4.7,0.41
18-07-2008,Male,Service,No,3,6,5.6,0.49
06-05-2008,Female,Product,No,3,7,7.6,0.58
10-07-2008,Female,Service,Yes,2,,,
15-04-2008,Female,Service,No,2,4,6.9,0.59
10-12-2008,Female,Service,No,4,6,6.8,0.66
18-11-2008,Female,Service,Yes,2,2,1.8,0.15
17-08-2008,Male,Product,Yes,4,8,8,0.67
10-04-2008,Female,Service,Yes,1,3,4.7,0.35
22-12-2008,Female,Service,No,2,3,6.3,0.44
04-09-2008,Male,Service,Yes,2,2,4.2,0.24
01-08-2008,Female,Product,No,3,6,8.2,0.62
14-07-2008,Male,Product,No,1,3,4.2,0.31
28-01-2008,Female,Service,No,2,4,5,0.41
11-01-2008,Female,Service,Yes,1,4,6.6,0.44
18-09-2008,Female,Service,Yes,2,4,7.2,0.5
07-04-2008,Male,Product,No,4,,7.7,0.63
25-10-2008,Female,Service,No,2,,7.2,0.54
17-05-2008,Female,Service,No,3,,6.5,0.55
30-07-2008,Female,Service,Yes,2,,4.1,0.22
07-07-2008,Male,Product,No,1,4,5.9,0.51
06-07-2008,Female,Product,Yes,3,6,7,0.51
21-08-2008,Female,Service,Yes,1,2,3.8,0.32
27-04-2008,Male,Service,Yes,4,9,10,0.94
08-03-2008,Male,Service,Yes,3,5,5.3,0.48
02-01-2008,Male,Service,Yes,3,5,,0.47
09-11-2008,Female,Service,Yes,3,7,7.8,0.66
16-02-2008,Female,Product,Yes,3,5,5.6,
23-05-2008,Male,Service,Yes,2,5,5.2,0.44
21-09-2008,Male,Product,Yes,2,6,8.9,0.75
05-03-2008,Male,Service,No,3,6,6.8,0.51
29-05-2008,Female,Service,Yes,2,6,8,0.73
07-02-2008,Female,Product,Yes,2,4,5.5,0.36
13-04-2008,Female,Service,No,2,6,,0.57
07-07-2008,Female,Service,Yes,3,5,,0.39
23-12-2008,Female,Service,Yes,1,1,0,0
06-10-2008,Male,Service,No,3,7,6.5,0.54
11-12-2008,Female,Service,Yes,2,3,3.5,0.24
13-06-2008,Female,Product,No,2,5,7.3,0.6
04-01-2008,Male,Service,Yes,0,1,1.8,0.1
21-03-2008,Male,Service,No,2,5,7,0.51
01-03-2008,Female,Service,Yes,1,2,4.8,0.32
16-06-2008,Female,Service,No,3,5,6.5,0.45
19-02-2008,Female,Service,No,1,4,5,0.4
13-11-2008,Male,Service,No,2,6,,0.59
20-06-2008,Female,Service,No,3,6,5.5,0.5
06-03-2008,Female,Product,No,3,7,5.7,0.53
11-01-2008,Male,Service,Yes,2,2,2.8,0.18
14-08-2008,Female,Service,No,3,5,7.5,0.59
29-01-2008,Male,Service,Yes,3,5,7.6,0.56
28-01-2008,Female,Service,Yes,1,3,5.2,0.36
15-09-2008,Female,Product,Yes,2,3,4.3,0.27
03-04-2008,Female,Product,Yes,4,9,8.3,0.72
11-02-2008,Female,Product,Yes,1,3,5.7,0.42
08-07-2008,Female,Service,No,3,6,7.7,0.55
12-10-2008,Female,Product,No,1,2,4.1,0.34
26-07-2008,Male,Service,No,5,10,,
13-09-2008,Female,Service,Yes,1,3,6.4,0.42
06-08-2008,Female,Product,No,2,4,6.2,0.48
04-07-2008,Male,Service,Yes,3,4,,0.39
06-07-2008,Male,Service,No,3,5,7.2,0.58
18-01-2008,Male,Product,No,3,5,6.9,0.49
15-02-2008,Male,Service,No,4,8,,0.94
09-03-2008,Male,Service,No,3,5,7.2,0.57
25-05-2008,Male,Service,Yes,1,3,5.6,0.46
24-05-2008,Female,Product,Yes,1,3,4.6,0.4
30-11-2008,Male,Service,Yes,1,2,4.8,0.38
06-04-2008,Female,Product,No,3,7,8.6,0.69
20-02-2008,Female,Product,Yes,3,7,7,0.71
05-08-2008,Male,Service,No,3,6,,0.5
08-11-2008,Male,Product,Yes,2,4,6.5,0.5
29-07-2008,Female,Service,Yes,3,5,5.4,0.45
17-09-2008,Female,Service,Yes,2,4,5.8,0.54
10-11-2008,Female,Service,No,2,1,1.7,0.08
10-10-2008,Female,Product,No,1,,3.9,0.29
25-06-2008,Female,Service,Yes,1,4,5,0.36
03-07-2008,Male,Product,Yes,1,1,1,0.03
14-01-2008,Female,Product,No,2,3,4.8,0.28
20-12-2008,Female,Service,Yes,3,6,9.9,0.87
13-05-2008,Male,Service,Yes,3,6,5.8,0.48
12-12-2008,Male,Product,Yes,3,6,5,
02-03-2008,Male,Service,Yes,3,6,6.9,0.5
29-01-2008,Female,Service,Yes,2,4,5.4,0.34
04-10-2008,Female,Service,Yes,2,,,
23-03-2008,Male,Service,Yes,0,1,3.5,0.17
22-08-2008,Male,Service,No,1,2,4.2,0.22
28-09-2008,Female,Service,No,1,1,4.7,0.23
11-02-2008,Male,Product,Yes,2,4,6.1,0.41
15-05-2008,Female,Product,No,3,7,9.3,0.81
16-09-2008,Male,Service,Yes,2,5,6.2,0.47
11-05-2008,Male,Service,Yes,3,5,5,
18-02-2008,Female,Product,Yes,3,7,6.9,0.55
22-10-2008,Female,Product,No,3,7,8.3,0.64
17-06-2008,Male,Service,No,2,6,9.1,
26-05-2008,Female,Service,No,3,4,6.1,0.45
